Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.1 (lin64) Build 3526262 Mon Apr 18 15:47:01 MDT 2022
| Date         : Fri May  1 15:08:20 2026
| Host         : clara running 64-bit NixOS 25.11 (Xantusia)
| Command      : report_utilization -hierarchical -file util_inter_8.csv
| Design       : cyt_top
| Device       : xcu280-fsvh2892-2L-e
| Speed File   : -2L
| Design State : Physopt postRoute
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+---------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------+----------------+--------------+------------+------------+---------+-------+--------+--------+--------+------+------------+
|                                                                         Instance                                                                        |                                               Module                                              |  PR Attribute  | Total PPLOCs | Total LUTs | Logic LUTs | LUTRAMs |  SRLs |   FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
|                         (SUBCORE_FIFO.xsdbm_v3_0_0_rdfifo_inst)                                                                                         |                                                    xsdbm_4_fifo_generator_v13_1_4__parameterized0 | Reconfigurable |            - |          0 |          0 |       0 |     0 |      0 |      0 |      0 |    0 |          0 |
|                         inst_fifo_gen                                                                                                                   |                                              xsdbm_4_fifo_generator_v13_1_4_synth__parameterized0 | Reconfigurable |            - |         45 |         35 |      10 |     0 |    114 |      0 |      0 |    0 |          0 |
|                           gconvfifo.rf                                                                                                                  |                                                        xsdbm_4_fifo_generator_top__parameterized0 | Reconfigurable |            - |         45 |         35 |      10 |     0 |    114 |      0 |      0 |    0 |          0 |
|                             grf.rf                                                                                                                      |                                                    xsdbm_4_fifo_generator_ramfifo__parameterized0 | Reconfigurable |            - |         45 |         35 |      10 |     0 |    114 |      0 |      0 |    0 |          0 |
|                               gntv_or_sync_fifo.gcx.clkx                                                                                                |                                                                             xsdbm_4_clk_x_pntrs_6 | Reconfigurable |            - |         12 |         12 |       0 |     0 |     32 |      0 |      0 |    0 |          0 |
|                                 (gntv_or_sync_fifo.gcx.clkx)                                                                                            |                                                                             xsdbm_4_clk_x_pntrs_6 | Reconfigurable |            - |         10 |         10 |       0 |     0 |     16 |      0 |      0 |    0 |          0 |
|                                 gnxpm_cdc.gsync_stage[1].rd_stg_inst                                                                                    |                                                        xsdbm_4_synchronizer_ff__parameterized0_18 | Reconfigurable |            - |          0 |          0 |       0 |     0 |      4 |      0 |      0 |    0 |          0 |
|                                 gnxpm_cdc.gsync_stage[1].wr_stg_inst                                                                                    |                                                        xsdbm_4_synchronizer_ff__parameterized0_19 | Reconfigurable |            - |          0 |          0 |       0 |     0 |      4 |      0 |      0 |    0 |          0 |
|                                 gnxpm_cdc.gsync_stage[2].rd_stg_inst                                                                                    |                                                        xsdbm_4_synchronizer_ff__parameterized0_20 | Reconfigurable |            - |          1 |          1 |       0 |     0 |      4 |      0 |      0 |    0 |          0 |
|                                 gnxpm_cdc.gsync_stage[2].wr_stg_inst                                                                                    |                                                        xsdbm_4_synchronizer_ff__parameterized0_21 | Reconfigurable |            - |          1 |          1 |       0 |     0 |      4 |      0 |      0 |    0 |          0 |
|                               gntv_or_sync_fifo.gl0.rd                                                                                                  |                                                                  xsdbm_4_rd_logic__parameterized0 | Reconfigurable |            - |         14 |         14 |       0 |     0 |     19 |      0 |      0 |    0 |          0 |
|                                 gr1.gr1_int.rfwft                                                                                                       |                                                                                   xsdbm_4_rd_fwft | Reconfigurable |            - |          7 |          7 |       0 |     0 |      8 |      0 |      0 |    0 |          0 |
|                                 gras.rsts                                                                                                               |                                                                     xsdbm_4_rd_status_flags_as_16 | Reconfigurable |            - |          0 |          0 |       0 |     0 |      2 |      0 |      0 |    0 |          0 |
|                                 grhf.rhf                                                                                                                |                                                      xsdbm_4_rd_handshaking_flags__parameterized0 | Reconfigurable |            - |          0 |          0 |       0 |     0 |      1 |      0 |      0 |    0 |          0 |
|                                 rpntr                                                                                                                   |                                                                            xsdbm_4_rd_bin_cntr_17 | Reconfigurable |            - |          7 |          7 |       0 |     0 |      8 |      0 |      0 |    0 |          0 |
|                               gntv_or_sync_fifo.gl0.wr                                                                                                  |                                                                  xsdbm_4_wr_logic__parameterized0 | Reconfigurable |            - |          5 |          5 |       0 |     0 |     15 |      0 |      0 |    0 |          0 |
|                                 gwas.wsts                                                                                                               |                                                                     xsdbm_4_wr_status_flags_as_13 | Reconfigurable |            - |          2 |          2 |       0 |     0 |      2 |      0 |      0 |    0 |          0 |
|                                 gwhf.whf                                                                                                                |                                                                   xsdbm_4_wr_handshaking_flags_14 | Reconfigurable |            - |          0 |          0 |       0 |     0 |      1 |      0 |      0 |    0 |          0 |
|                                 wpntr                                                                                                                   |                                                                            xsdbm_4_wr_bin_cntr_15 | Reconfigurable |            - |          3 |          3 |       0 |     0 |     12 |      0 |      0 |    0 |          0 |
|                               gntv_or_sync_fifo.mem                                                                                                     |                                                                    xsdbm_4_memory__parameterized0 | Reconfigurable |            - |         10 |          0 |      10 |     0 |     32 |      0 |      0 |    0 |          0 |
|                                 (gntv_or_sync_fifo.mem)                                                                                                 |                                                                    xsdbm_4_memory__parameterized0 | Reconfigurable |            - |          0 |          0 |       0 |     0 |     16 |      0 |      0 |    0 |          0 |
|                                 gdm.dm_gen.dm                                                                                                           |                                                                                   xsdbm_4_dmem_12 | Reconfigurable |            - |         10 |          0 |      10 |     0 |     16 |      0 |      0 |    0 |          0 |
|                               rstblk                                                                                                                    |                                                                       xsdbm_4_reset_blk_ramfifo_7 | Reconfigurable |            - |          4 |          4 |       0 |     0 |     16 |      0 |      0 |    0 |          0 |
|                                 (rstblk)                                                                                                                |                                                                       xsdbm_4_reset_blk_ramfifo_7 | Reconfigurable |            - |          0 |          0 |       0 |     0 |     12 |      0 |      0 |    0 |          0 |
|                                 ngwrdrst.grst.g7serrst.gwrrd_rst_sync_stage[1].rrst_inst                                                                |                                                                         xsdbm_4_synchronizer_ff_8 | Reconfigurable |            - |          1 |          1 |       0 |     0 |      1 |      0 |      0 |    0 |          0 |
|                                 ngwrdrst.grst.g7serrst.gwrrd_rst_sync_stage[1].wrst_inst                                                                |                                                                         xsdbm_4_synchronizer_ff_9 | Reconfigurable |            - |          1 |          1 |       0 |     0 |      1 |      0 |      0 |    0 |          0 |
|                                 ngwrdrst.grst.g7serrst.gwrrd_rst_sync_stage[2].rrst_inst                                                                |                                                                        xsdbm_4_synchronizer_ff_10 | Reconfigurable |            - |          1 |          1 |       0 |     0 |      1 |      0 |      0 |    0 |          0 |
|                                 ngwrdrst.grst.g7serrst.gwrrd_rst_sync_stage[2].wrst_inst                                                                |                                                                        xsdbm_4_synchronizer_ff_11 | Reconfigurable |            - |          1 |          1 |       0 |     0 |      1 |      0 |      0 |    0 |          0 |
|                   U_CMD6_WR                                                                                                                             |                                                                        xsdbm_4_xsdbm_v3_0_0_wrreg | Reconfigurable |            - |         40 |         30 |      10 |     0 |    110 |      0 |      0 |    0 |          0 |
