Copyright 1986-2022 Xilinx, Inc. All Rights Reserved. Copyright 2022-2023 Advanced Micro Devices, Inc. All Rights Reserved.
---------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2023.2 (lin64) Build 4029153 Fri Oct 13 20:13:54 MDT 2023
| Date         : Tue May  5 13:27:07 2026
| Host         : amy running 64-bit NixOS 25.11 (Xantusia)
| Command      : report_utilization -hierarchical -file util_resource_usage.csv
| Design       : cyt_top
| Device       : xcu280-fsvh2892-2L-e
| Speed File   : -2L
| Design State : Routed
---------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+---------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------+----------------+--------------+------------+------------+---------+------+--------+--------+--------+------+------------+
|                                                                         Instance                                                                        |                                               Module                                              |  PR Attribute  | Total PPLOCs | Total LUTs | Logic LUTs | LUTRAMs | SRLs |   FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
|                                 gnxpm_cdc.gsync_stage[1].wr_stg_inst                                                                                    |                                                        xsdbm_0_synchronizer_ff__parameterized0_20 | Reconfigurable |            - |          0 |          0 |       0 |    0 |      4 |      0 |      0 |    0 |          0 |
|                                 gnxpm_cdc.gsync_stage[2].rd_stg_inst                                                                                    |                                                        xsdbm_0_synchronizer_ff__parameterized0_21 | Reconfigurable |            - |          1 |          1 |       0 |    0 |      4 |      0 |      0 |    0 |          0 |
|                                 gnxpm_cdc.gsync_stage[2].wr_stg_inst                                                                                    |                                                        xsdbm_0_synchronizer_ff__parameterized0_22 | Reconfigurable |            - |          1 |          1 |       0 |    0 |      4 |      0 |      0 |    0 |          0 |
|                               gntv_or_sync_fifo.gl0.rd                                                                                                  |                                                                  xsdbm_0_rd_logic__parameterized0 | Reconfigurable |            - |         14 |         14 |       0 |    0 |     19 |      0 |      0 |    0 |          0 |
|                                 gr1.gr1_int.rfwft                                                                                                       |                                                                                   xsdbm_0_rd_fwft | Reconfigurable |            - |          7 |          7 |       0 |    0 |      8 |      0 |      0 |    0 |          0 |
|                                 gras.rsts                                                                                                               |                                                                     xsdbm_0_rd_status_flags_as_17 | Reconfigurable |            - |          0 |          0 |       0 |    0 |      2 |      0 |      0 |    0 |          0 |
|                                 grhf.rhf                                                                                                                |                                                      xsdbm_0_rd_handshaking_flags__parameterized0 | Reconfigurable |            - |          0 |          0 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|                                 rpntr                                                                                                                   |                                                                            xsdbm_0_rd_bin_cntr_18 | Reconfigurable |            - |          7 |          7 |       0 |    0 |      8 |      0 |      0 |    0 |          0 |
|                               gntv_or_sync_fifo.gl0.wr                                                                                                  |                                                                  xsdbm_0_wr_logic__parameterized0 | Reconfigurable |            - |          5 |          5 |       0 |    0 |     15 |      0 |      0 |    0 |          0 |
|                                 gwas.wsts                                                                                                               |                                                                     xsdbm_0_wr_status_flags_as_14 | Reconfigurable |            - |          2 |          2 |       0 |    0 |      2 |      0 |      0 |    0 |          0 |
