Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.1 (lin64) Build 3526262 Mon Apr 18 15:47:01 MDT 2022
| Date         : Fri May  1 14:58:18 2026
| Host         : clara running 64-bit NixOS 25.11 (Xantusia)
| Command      : report_utilization -hierarchical -file util_inter_6.csv
| Design       : cyt_top
| Device       : xcu280-fsvh2892-2L-e
| Speed File   : -2L
| Design State : Physopt postRoute
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+---------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------+----------------+--------------+------------+------------+---------+------+--------+--------+--------+------+------------+
|                                                                         Instance                                                                        |                                               Module                                              |  PR Attribute  | Total PPLOCs | Total LUTs | Logic LUTs | LUTRAMs | SRLs |   FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
|                   (U_XSDB_BUS_CONTROLLER)                                                                                                               |                                                                      xsdbm_6_xsdbm_v3_0_0_bus_ctl | Reconfigurable |            - |         10 |         10 |       0 |    0 |     37 |      0 |      0 |    0 |          0 |
|                   U_RD_ABORT_FLAG                                                                                                                       |                                                  xsdbm_6_xsdbm_v3_0_0_bus_ctl_flg__parameterized0 | Reconfigurable |            - |          7 |          7 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|                   U_RD_REQ_FLAG                                                                                                                         |                                                                  xsdbm_6_xsdbm_v3_0_0_bus_ctl_flg | Reconfigurable |            - |          5 |          5 |       0 |    0 |      2 |      0 |      0 |    0 |          0 |
|                   U_TIMER                                                                                                                               |                                                                  xsdbm_6_xsdbm_v3_0_0_bus_ctl_cnt | Reconfigurable |            - |         44 |         44 |       0 |    0 |      8 |      0 |      0 |    0 |          0 |
|                 U_XSDB_BUS_MSTR2SL_PORT_IFACE                                                                                                           |                                                               xsdbm_6_xsdbm_v3_0_0_bus_mstr2sl_if | Reconfigurable |            - |          0 |          0 |       0 |    0 |     17 |      0 |      0 |    0 |          0 |
|                   (U_XSDB_BUS_MSTR2SL_PORT_IFACE)                                                                                                       |                                                               xsdbm_6_xsdbm_v3_0_0_bus_mstr2sl_if | Reconfigurable |            - |          0 |          0 |       0 |    0 |     17 |      0 |      0 |    0 |          0 |
|                   U_RD_DIN_BUS_MUX                                                                                                                      |                                                                  xsdbm_6_ltlib_v1_0_0_generic_mux | Reconfigurable |            - |          0 |          0 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|               CORE_XSDB.U_ICON                                                                                                                          |                                                                         xsdbm_6_xsdbm_v3_0_0_icon | Reconfigurable |            - |         16 |         16 |       0 |    0 |     28 |      0 |      0 |    0 |          0 |
|                 (CORE_XSDB.U_ICON)                                                                                                                      |                                                                         xsdbm_6_xsdbm_v3_0_0_icon | Reconfigurable |            - |          1 |          1 |       0 |    0 |      3 |      0 |      0 |    0 |          0 |
|                 U_CMD                                                                                                                                   |                                                                   xsdbm_6_xsdbm_v3_0_0_cmd_decode | Reconfigurable |            - |          8 |          8 |       0 |    0 |     10 |      0 |      0 |    0 |          0 |
