Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.1 (lin64) Build 3526262 Mon Apr 18 15:47:01 MDT 2022
| Date         : Thu Apr 30 15:17:34 2026
| Host         : clara running 64-bit NixOS 25.11 (Xantusia)
| Command      : report_utilization -hierarchical -file util_ushell_2.csv
| Design       : cyt_top
| Device       : xcu280-fsvh2892-2L-e
| Speed File   : -2L
| Design State : Physopt postRoute
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+---------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------+----------------+--------------+------------+------------+---------+------+--------+--------+--------+------+------------+
|                                                                         Instance                                                                        |                                               Module                                              |  PR Attribute  | Total PPLOCs | Total LUTs | Logic LUTs | LUTRAMs | SRLs |   FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
|                                 ngwrdrst.grst.g7serrst.gwrrd_rst_sync_stage[2].rrst_inst                                                                |                                                                         xsdbm_3_synchronizer_ff_2 | Reconfigurable |            - |          1 |          1 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|                                 ngwrdrst.grst.g7serrst.gwrrd_rst_sync_stage[2].wrst_inst                                                                |                                                                         xsdbm_3_synchronizer_ff_3 | Reconfigurable |            - |          1 |          1 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|                   U_CMD7_CTL                                                                                                                            |                                                      xsdbm_3_xsdbm_v3_0_0_ctl_reg__parameterized2 | Reconfigurable |            - |          2 |          2 |       0 |    0 |     12 |      0 |      0 |    0 |          0 |
|                   U_CMD7_STAT                                                                                                                           |                                                   xsdbm_3_xsdbm_v3_0_0_stat_reg__parameterized0_0 | Reconfigurable |            - |          4 |          4 |       0 |    0 |     18 |      0 |      0 |    0 |          0 |
|                   U_STATIC_STATUS                                                                                                                       |                                                             xsdbm_3_xsdbm_v3_0_0_if_static_status | Reconfigurable |            - |          9 |          9 |       0 |    0 |      7 |      0 |      0 |    0 |          0 |
|                 U_XSDB_ADDRESS_CONTROLLER                                                                                                               |                                                                     xsdbm_3_xsdbm_v3_0_0_addr_ctl | Reconfigurable |            - |         18 |         18 |       0 |    0 |     19 |      0 |      0 |    0 |          0 |
|                 U_XSDB_BURST_WD_LEN_CONTROLLER                                                                                                          |                                                              xsdbm_3_xsdbm_v3_0_0_burst_wdlen_ctl | Reconfigurable |            - |         23 |         23 |       0 |    0 |     20 |      0 |      0 |    0 |          0 |
|                 U_XSDB_BUS_CONTROLLER                                                                                                                   |                                                                      xsdbm_3_xsdbm_v3_0_0_bus_ctl | Reconfigurable |            - |         66 |         66 |       0 |    0 |     48 |      0 |      0 |    0 |          0 |
|                   (U_XSDB_BUS_CONTROLLER)                                                                                                               |                                                                      xsdbm_3_xsdbm_v3_0_0_bus_ctl | Reconfigurable |            - |         10 |         10 |       0 |    0 |     37 |      0 |      0 |    0 |          0 |
|                   U_RD_ABORT_FLAG                                                                                                                       |                                                  xsdbm_3_xsdbm_v3_0_0_bus_ctl_flg__parameterized0 | Reconfigurable |            - |          7 |          7 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|                   U_RD_REQ_FLAG                                                                                                                         |                                                                  xsdbm_3_xsdbm_v3_0_0_bus_ctl_flg | Reconfigurable |            - |          5 |          5 |       0 |    0 |      2 |      0 |      0 |    0 |          0 |
|                   U_TIMER                                                                                                                               |                                                                  xsdbm_3_xsdbm_v3_0_0_bus_ctl_cnt | Reconfigurable |            - |         44 |         44 |       0 |    0 |      8 |      0 |      0 |    0 |          0 |
|                 U_XSDB_BUS_MSTR2SL_PORT_IFACE                                                                                                           |                                                               xsdbm_3_xsdbm_v3_0_0_bus_mstr2sl_if | Reconfigurable |            - |          0 |          0 |       0 |    0 |     17 |      0 |      0 |    0 |          0 |
|                   (U_XSDB_BUS_MSTR2SL_PORT_IFACE)                                                                                                       |                                                               xsdbm_3_xsdbm_v3_0_0_bus_mstr2sl_if | Reconfigurable |            - |          0 |          0 |       0 |    0 |     17 |      0 |      0 |    0 |          0 |
|                   U_RD_DIN_BUS_MUX                                                                                                                      |                                                                  xsdbm_3_ltlib_v1_0_0_generic_mux | Reconfigurable |            - |          0 |          0 |       0 |    0 |      0 |      0 |      0 |    0 |          0 |
|               CORE_XSDB.U_ICON                                                                                                                          |                                                                         xsdbm_3_xsdbm_v3_0_0_icon | Reconfigurable |            - |         16 |         16 |       0 |    0 |     28 |      0 |      0 |    0 |          0 |
|                 (CORE_XSDB.U_ICON)                                                                                                                      |                                                                         xsdbm_3_xsdbm_v3_0_0_icon | Reconfigurable |            - |          1 |          1 |       0 |    0 |      3 |      0 |      0 |    0 |          0 |
|                 U_CMD                                                                                                                                   |                                                                   xsdbm_3_xsdbm_v3_0_0_cmd_decode | Reconfigurable |            - |          8 |          8 |       0 |    0 |     10 |      0 |      0 |    0 |          0 |
|                 U_STAT                                                                                                                                  |                                                                         xsdbm_3_xsdbm_v3_0_0_stat | Reconfigurable |            - |          5 |          5 |       0 |    0 |      7 |      0 |      0 |    0 |          0 |
|                 U_SYNC                                                                                                                                  |                                                                         xsdbm_3_xsdbm_v3_0_0_sync | Reconfigurable |            - |          2 |          2 |       0 |    0 |      8 |      0 |      0 |    0 |          0 |
|     inst_dynamic                                                                                                                                        |                                                                                design_dynamic_top | Reconfigurable |            - |      67418 |      65444 |    1572 |  402 | 131803 |    156 |     24 |    0 |          0 |
|       genblk3[0].inst_host_axis_reg_arr_s1_in                                                                                                           |                                                         axis_reg_array__parameterized3__xdcDup__1 | Reconfigurable |            - |       1755 |       1755 |       0 |    0 |   3480 |      0 |      0 |    0 |          0 |
|         genblk1[0].inst_reg                                                                                                                             |                                                                              axis_reg__xdcDup__21 | Reconfigurable |            - |        586 |        586 |       0 |    0 |   1160 |      0 |      0 |    0 |          0 |
|           inst_reg_slice                                                                                                                                |                                                                           axis_register_slice_512 | Reconfigurable |            - |        586 |        586 |       0 |    0 |   1160 |      0 |      0 |    0 |          0 |
|             inst                                                                                                                                        |                           axis_register_slice_512_axis_register_slice_v1_1_26_axis_register_slice | Reconfigurable |            - |        586 |        586 |       0 |    0 |   1160 |      0 |      0 |    0 |          0 |
|               (inst)                                                                                                                                    |                           axis_register_slice_512_axis_register_slice_v1_1_26_axis_register_slice | Reconfigurable |            - |          1 |          1 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|               axisc_register_slice_0                                                                                                                    |                          axis_register_slice_512_axis_register_slice_v1_1_26_axisc_register_slice | Reconfigurable |            - |        585 |        585 |       0 |    0 |   1159 |      0 |      0 |    0 |          0 |
|         genblk1[1].inst_reg                                                                                                                             |                                                                              axis_reg__xdcDup__22 | Reconfigurable |            - |        585 |        585 |       0 |    0 |   1160 |      0 |      0 |    0 |          0 |
|           inst_reg_slice                                                                                                                                |                                                                     axis_register_slice_512_HD958 | Reconfigurable |            - |        585 |        585 |       0 |    0 |   1160 |      0 |      0 |    0 |          0 |
|             inst                                                                                                                                        |                     axis_register_slice_512_axis_register_slice_v1_1_26_axis_register_slice_HD959 | Reconfigurable |            - |        585 |        585 |       0 |    0 |   1160 |      0 |      0 |    0 |          0 |
